flat_id,id,building_id,floor,is_apartment,kitchen_area,living_area,rooms,studio,total_area,build_year,building_type_int,latitude,longitude,ceiling_height,flats_count,floors_total,has_elevator,target
293.0,1040,22459.0,6,0,10.0,20.0,1,0,40.0,2013,4,55.63973617553711,37.326690673828125,2.740000009536743,259,17,1,10200000
294.0,1041,9196.0,4,0,6.400000095367432,23.299999237060547,2,0,38.0,1970,6,55.84567260742188,37.49922943115234,2.640000104904175,81,12,1,9800000
296.0,1043,5552.0,2,0,5.5,21.0,1,0,31.299999237060547,1964,4,55.75979995727539,37.79045486450195,2.640000104904175,72,9,1,8500000
297.0,1044,23923.0,8,0,0.0,15.0,1,0,41.0,2017,4,55.60070037841797,37.366493225097656,2.700000047683716,400,17,1,8850000
299.0,1045,23493.0,17,0,0.0,15.0,1,0,38.5,2016,4,55.60223388671875,37.36514663696289,2.740000009536743,197,17,1,8100000
300.0,1046,22748.0,10,0,11.0,30.0,2,0,60.0,2014,4,55.51469039916992,37.35446548461914,2.700000047683716,176,12,1,11400000
301.0,1047,8447.0,7,0,6.0,45.0,3,0,59.59999847412109,1969,4,55.81946563720703,37.808815002441406,2.640000104904175,287,9,1,12400000
302.0,1048,23170.0,17,0,0.0,18.0,1,0,39.0,2015,4,55.60273361206055,37.367435455322266,2.740000009536743,462,17,1,8500000
304.0,1049,13557.0,1,0,8.600000381469727,17.799999237060547,1,0,37.20000076293945,1982,4,55.668270111083984,37.4693489074707,2.640000104904175,247,16,1,9500000
305.0,1050,22777.0,5,0,13.0,41.0,3,0,77.5,2014,4,55.60490036010742,37.36143493652344,2.75,372,17,1,13900000
306.0,1051,23471.0,8,0,10.0,19.0,1,0,40.0,2016,4,55.59899139404297,37.3586311340332,2.740000009536743,320,17,1,8000000
307.0,1052,22162.0,14,0,0.0,30.0,1,0,45.0,2012,4,55.593971252441406,37.36544036865234,2.700000047683716,182,25,1,9500000
313.0,1054,23173.0,5,0,7.5,19.0,1,0,38.5,2015,4,55.60296630859375,37.360313415527344,2.700000047683716,395,17,1,7600000
316.0,1055,23173.0,12,0,9.5,18.799999237060547,1,0,38.0,2015,4,55.60296630859375,37.360313415527344,2.700000047683716,395,17,1,8200000
